net,length_um
_0236_,9.7µm
_0856_,9.7µm
_1430_,9.7µm
_1536_,9.7µm
net25,9.7µm
net270,9.7µm
_1861_,9.68µm
_1104_,9.66µm
_1255_,9.66µm
_1248_,9.64µm
periodTop[9],9.64µm
net2,9.64µm
net36,9.64µm
_0758_,9.62µm
_0997_,9.62µm
_1530_,9.62µm
_1734_,9.62µm
_1835_,9.62µm
_0409_,9.6µm
_0700_,9.58µm
_1550_,9.58µm
_0125_,9.54µm
net292,9.54µm
net254,9.52µm
net66,9.52µm
_1556_,9.51µm
_0248_,9.5µm
_1307_,9.5µm
_1593_,9.5µm
_1722_,9.48µm
_0332_,9.44µm
_0413_,9.44µm
_0401_,9.42µm
_0849_,9.36µm
_1216_,9.36µm
_1422_,9.36µm
_1448_,9.36µm
_1813_,9.36µm
_1876_,9.36µm
_0439_,9.32µm
_1250_,9.32µm
_1425_,9.32µm
_0259_,9.315µm
_1858_,9.3µm
_0352_,9.28µm
_0580_,9.28µm
_1254_,9.28µm
net73,9.28µm
_0405_,9.24µm
_0817_,9.24µm
_1350_,9.24µm
_1468_,9.24µm
_1527_,9.24µm
_1427_,9.2µm
_1594_,9.18µm
_0702_,9.12µm
_1061_,9.1µm
_1206_,9.1µm
_0494_,9.09µm
_0247_,9.08µm
_0177_,9.04µm
_0357_,9.04µm
_1768_,9.04µm
_0291_,9.02µm
_0536_,9.02µm
_1064_,9.02µm
_1343_,9µm
_1877_,9µm
_0508_,8.98µm
_0948_,8.98µm
_1037_,8.98µm
_1822_,8.98µm
_1372_,8.965µm
_0628_,8.96µm
_0955_,8.96µm
_1150_,8.96µm
_1690_,8.96µm
net271,8.96µm
_0779_,8.93µm
_0091_,8.92µm
_0345_,8.9µm
_0559_,8.9µm
_0677_,8.9µm
_1688_,8.9µm
tC\[9\],8.9µm
_0810_,8.865µm
_0294_,8.86µm
_0904_,8.86µm
_0339_,8.84µm
_1249_,8.84µm
_1390_,8.84µm
tC\[0\],8.84µm
_0201_,8.82µm
_0533_,8.82µm
_0560_,8.82µm
_1420_,8.82µm
_1857_,8.82µm
tA\[12\],8.82µm
_0578_,8.805µm
_0202_,8.78µm
_0809_,8.78µm
_1186_,8.78µm
_0215_,8.76µm
vA[12],8.72µm
vA[13],8.72µm
vB[13],8.72µm
_1203_,8.7µm
_1571_,8.7µm
_1743_,8.7µm
_1778_,8.7µm
vA[5],8.69µm
_0545_,8.68µm
_1117_,8.68µm
_0635_,8.66µm
_1028_,8.66µm
_1041_,8.66µm
_1449_,8.66µm
_1546_,8.66µm
_1665_,8.66µm
_1862_,8.66µm
_0456_,8.63µm
net77,8.62µm
vC[0],8.61µm
net280,8.6µm
_0606_,8.58µm
_0749_,8.58µm
_1554_,8.58µm
_1649_,8.58µm
_1721_,8.58µm
_0397_,8.565µm
_0335_,8.56µm
_1119_,8.56µm
_1040_,8.54µm
_1047_,8.54µm
_1700_,8.54µm
_0481_,8.52µm
_1735_,8.52µm
net61,8.52µm
_0833_,8.5µm
_1434_,8.5µm
_0180_,8.48µm
_0586_,8.48µm
_0920_,8.48µm
_0801_,8.46µm
_0122_,8.44µm
_0264_,8.44µm
_1165_,8.44µm
_1540_,8.44µm
_1213_,8.42µm
vB[9],8.41µm
_1654_,8.385µm
_1071_,8.38µm
_1130_,8.38µm
_1602_,8.38µm
_0646_,8.36µm
periodTop[7],8.35µm
_0891_,8.34µm
_1122_,8.32µm
_1445_,8.32µm
_1627_,8.32µm
_1874_,8.32µm
_0127_,8.28µm
_1018_,8.26µm
_1499_,8.26µm
_0728_,8.24µm
_1686_,8.24µm
_1882_,8.24µm
net76,8.24µm
_0946_,8.235µm
_0682_,8.22µm
_1304_,8.22µm
_1404_,8.22µm
_0261_,8.2µm
_1370_,8.2µm
_0239_,8.19µm
_1312_,8.16µm
_0787_,8.14µm
_0993_,8.14µm
_1222_,8.14µm
_1020_,8.12µm
_1679_,8.12µm
_1838_,8.1µm
_0111_,8.08µm
_0400_,8.08µm
_1583_,8.08µm
pwmB,8.05µm
_1676_,8.03µm
_0275_,8.02µm
_0310_,8.02µm
_0901_,8.02µm
_1054_,8.02µm
_1121_,8.02µm
_1588_,8.02µm
net288,8.02µm
_0504_,8µm
_1453_,8µm
_0157_,7.98µm
_0320_,7.98µm
